Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
las vegas luxury vacation rental homes,40,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
luxury vacation home rentals florida,40,0,0,0,0,,"1.00,0.14,0.29,0.14,0.71,0.71,0.29,0.43,0.14,0.14,0.43,0.14"
marco island vacation home rentals,40,0,0,0,0,,"0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,1.00,0.33,0.33,0.67"
mobile home vacation rentals,40,0,0,0.05,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00"
phoenix vacation home rentals,40,0,0,0,0,,"0.43,0.00,1.00,0.14,0.29,0.00,0.57,0.14,0.14,0.14,0.00,0.00"
reunion resort vacation home rentals,40,0,0,0,0,,"0.25,0.25,0.25,1.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00"
tiny home vacation rentals,40,0,0,0,0,,"0.00,0.33,0.00,0.00,0.00,0.00,0.67,0.33,0.33,0.00,1.00,0.00"
vacation home rentals chicago,40,0,0,0.36,0,,"0.11,0.00,0.22,0.22,0.11,0.11,0.33,0.56,1.00,0.11,0.11,0.11"
vacation home rentals in orlando florida,40,0,0,0.03,0,,"0.57,0.14,0.14,0.14,0.14,0.14,0.57,0.29,0.14,0.14,0.29,1.00"
vacation home rentals in washington dc,40,0,0,0,0,,"0.00,0.00,0.20,0.00,1.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00"
vacation home rentals near me,40,0,0.69,0.57,0,,"0.50,0.50,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.25"
vacation home rentals near niagara falls canada,40,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
vacation rental homes in palm springs california,40,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00"
aspen vacation home rentals,30,0,0,0,0,,"0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.40,0.20"
away from home vacation rentals,30,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
big island vacation home rentals,30,0,0,0,0,,"0.00,0.33,1.00,0.67,0.00,0.00,0.33,0.00,0.67,0.33,1.00,0.67"
cape cod vacation home rentals,30,0,0,0,0,,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.43,0.14"
cheap orlando vacation home rentals with private pool,30,0,0,0,0,,"0.25,1.00,0.75,0.25,0.00,0.00,0.75,0.00,0.75,0.00,0.00,0.00"
daytona beach vacation home rentals,30,0,0,0,0,,"0.20,0.60,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.60,0.20,0.20"
daytona beach vacation home rentals by owner,30,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
home away vacation rentals caribbean,30,0,0,0,0,,"0.00,0.00,0.29,1.00,0.00,0.00,0.00,0.29,0.14,0.00,0.00,0.00"
key largo vacation home rentals,30,0,0,0,0,,"0.00,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.00,0.33,0.00"
key west vacation home rentals,30,0,0,0.14,0,,"0.29,0.14,0.14,0.14,0.14,0.29,0.14,0.29,0.14,0.14,1.00,0.14"
maui vacation home rentals beachfront,30,0,0,0,0,,"0.33,0.33,1.00,0.67,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.33"
obx vacation home rentals,30,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
orlando area vacation home rentals,30,0,0,0.04,0,,"0.20,0.60,0.40,0.60,0.80,0.20,0.20,0.00,0.20,0.20,1.00,0.20"
pismo beach vacation home rentals,30,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
second home vacation rental,30,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
sedona vacation home rentals,30,0,0,0,0,,"0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50"
steamboat springs vacation home rentals,30,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals bc,30,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals florida beachfront,30,0,0,0,0,,"0.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals four corners florida,30,0,0,0,0,,"0.00,0.00,0.11,0.11,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals in paris france,30,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals lake of the ozarks,30,0,0,0,0,,"1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00"
vacation home rentals naples fl,30,0,0,0.14,0,,"0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33"
vacation home rentals vancouver island,30,0,0,0,0,,"0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
vacation rental homes in venice beach ca,30,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
vail vacation home rentals,30,0,0,0,0,,"0.11,0.11,1.00,0.00,0.00,0.33,0.11,0.11,0.78,0.00,0.00,0.00"
what to bring to a vacation rental home,30,0,0,0,0,,"0.00,0.00,0.00,1.00,0.20,0.00,0.00,0.00,0.40,0.20,0.20,0.00"
whistler vacation home rentals,30,0,0,0,0,,"0.50,0.50,0.50,0.50,1.00,0.50,0.50,1.00,0.50,0.50,0.50,1.00"
bradenton beach vacation home rentals,20,0,0,0,0,,"0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,1.00,0.00,0.20,0.20"
buying a vacation rental home in orlando,20,0,0,0,0,,"1.00,0.00,0.50,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00"
cape san blas vacation rental homes,20,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
captiva island vacation home rentals,20,0,0,0,0,,"0.25,0.75,0.00,0.25,1.00,0.00,0.50,0.25,0.25,0.25,0.50,0.25"
carmel vacation home rentals,20,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
costa rica vacation home rentals with chef,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
disney area vacation home rentals,20,0,0,0,0,,"0.20,0.20,0.40,1.00,0.20,0.80,0.20,0.00,0.20,0.60,0.20,0.20"
disney vacation home rentals,20,0,0,0.06,0,,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00"
fort myers vacation home rentals,20,0,0,0,0,,"0.20,0.20,0.40,0.20,0.00,0.00,0.20,0.20,0.00,0.00,0.20,1.00"
home away vacation rentals reviews,20,0,0,0,0,,"0.14,0.29,0.14,1.00,0.29,0.14,0.29,0.14,0.43,0.14,0.71,0.14"
kailua vacation home rentals,20,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
kissimmee vacation home rentals with private pool,20,0,0,0,0,,"1.00,0.00,0.67,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00"
lake norman vacation rental homes,20,0,0,0,0,,"0.20,0.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
mountain home vacation rentals,20,0,0,0,0,,"1.00,0.00,0.22,0.11,0.56,0.56,0.11,0.33,0.00,0.22,0.11,0.22"
orlando vacation home rentals near disney,20,0,0,0,0,,"1.00,0.14,0.14,1.00,0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.29"
orlando vacation home rentals with private pool,20,0,0,0.05,0,,"0.14,1.00,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.71"
ormond beach vacation rental homes,20,0,0,0,0,,"0.00,0.43,0.57,0.00,0.14,0.43,0.14,0.00,1.00,0.00,0.57,0.00"
palm desert vacation home rentals,20,0,0,0,0,,"0.00,0.40,0.00,0.00,1.00,0.20,0.80,0.00,0.20,0.20,0.20,0.40"
panama city beach vacation home rentals beachfront,20,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
reserve the sun vacation home rentals,20,0,0,0.14,0,,"0.29,0.14,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.43"
sarasota vacation home rentals,20,0,0,0,0,,"0.14,0.14,0.14,0.43,0.00,0.00,0.14,1.00,0.29,0.14,0.14,0.14"
sea pines vacation home rentals,20,0,0,0,0,,"0.00,0.00,0.00,0.75,0.25,0.00,0.00,0.00,0.25,0.00,0.75,1.00"
sea ranch escape vacation rental homes,20,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
seaside rentals premier vacation homes,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
setting up a vacation rental home,20,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
sun peaks vacation home rentals,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
sweet home vacation rentals oregon,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
thailand vacation home rentals,20,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
turn your home into a vacation rental,20,0,0,0.71,0,,"0.00,0.00,0.25,0.75,0.00,0.00,1.00,0.25,0.00,0.00,0.00,0.25"
vacation holiday homes rental dubai,20,0,0,0,0,,"0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.22,0.11,0.00,0.00"
vacation home rentals baltimore md,20,0,0,0,0,,"0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals charleston sc,20,0,0,0,0,,"0.25,0.25,0.75,1.00,0.25,0.50,0.25,0.25,0.25,0.25,0.50,0.25"
vacation home rentals fort walton beach florida,20,0,0,0,0,,"1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals france,20,0,0,0,0,,"0.50,0.50,0.50,0.50,0.00,1.00,0.50,0.50,0.50,0.00,1.00,0.00"
vacation home rentals in georgia,20,0,0,0,0,,"0.14,0.14,0.14,0.00,0.14,0.00,0.14,0.14,1.00,0.00,1.00,0.14"
vacation home rentals in lagos nigeria,20,0,0,0.43,0,,"0.00,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.00,0.25,0.00,1.00"
vacation home rentals lake tahoe,20,0,0,0,0,,"0.43,1.00,0.43,0.14,1.00,0.29,0.14,0.14,0.29,0.14,0.14,0.43"
vacation home rentals near universal studios orlando,20,0,0,0,0,,"0.20,0.20,0.20,0.40,0.80,0.00,0.20,0.40,0.20,1.00,0.00,0.20"
vacation home rentals near washington dc,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals ohio,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
vacation home rentals oregon,20,0,0,0,0,,"0.78,0.11,1.00,0.33,0.11,0.00,0.00,0.11,0.22,0.00,0.11,0.11"
vacation home rentals paris,20,0,0,0.43,0,,"0.00,1.00,0.22,0.11,0.78,0.00,0.11,0.00,0.00,0.00,0.11,0.11"
vacation home rentals tallahassee florida,20,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals usa,20,0,0,1,0,,"0.00,1.00,0.40,0.20,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.20"
vacation rental homes anna maria island florida,20,0,0,0,0,,"0.00,1.00,0.33,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation rental homes france,20,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
vacation rental homes in texas,20,0,0,0,0,,"0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33"
virginia beach oceanfront vacation home rentals,20,0,0,0,0,,"0.00,0.20,0.40,0.00,1.00,0.00,0.20,0.20,0.20,0.20,0.20,0.20"
virginia beach vacation home rentals,20,0,0,0,0,,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.14"
yosemite vacation home rentals,20,0,0,0,0,,"0.29,0.14,0.29,0.14,0.00,0.14,0.14,0.00,0.00,0.29,1.00,1.00"
10 bedroom orlando vacation home rentals,10,0,0,0,0,,"0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
anna maria vacation home rentals,10,0,0,0,0,,"0.40,0.00,0.00,0.20,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00"
arizona vacation home rentals llc,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
at home vacation rentals,10,0,0,0.71,0,,"0.14,0.14,0.14,0.14,1.00,0.57,0.14,0.14,0.14,0.14,1.00,0.29"
atlanta vacation home rentals,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
bahamas vacation home rentals,10,0,0,0,0,,"0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.40,0.80,0.20,0.20,0.20"
barbados vacation home rentals,10,0,0,0,0,,"0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.00,0.50,0.25,1.00,0.00"
bass lake vacation home rentals,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
bayside vacation rental homes eastham ma,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
beach home costa rica vacation rentals,10,0,0,0,0,,"1.00,0.43,0.00,0.71,0.14,0.00,0.00,0.00,0.00,0.29,0.14,0.14"
beach vacation home rentals,10,0,0,0,0,,"0.80,0.20,0.20,0.40,0.00,0.20,0.40,0.60,0.20,0.20,0.20,1.00"
beachfront vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
best vacation home rental app,10,0,0,0,0,,"0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00"
best vacation home rental sites,10,0,2.15,0.37,0,,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33"
best vacation home rental websites,10,0,0,0.14,0,,"1.00,0.14,0.14,0.43,0.71,0.14,0.14,0.14,0.57,0.14,0.00,0.14"
best vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
big island hawaii vacation home rentals,10,0,0,0,0,,"0.20,0.20,0.20,0.00,0.00,0.20,0.00,0.00,1.00,0.20,0.20,0.20"
boca grande vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
boutique homes vacation rentals,10,0,0,0,0,,"0.00,0.40,0.00,0.00,0.00,0.20,0.40,1.00,0.00,0.20,0.00,0.00"
cancun vacation home rentals,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
cape coral vacation home rentals,10,0,0,0,0,,"0.20,0.60,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20"
cape hatteras vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
central florida vacation home rentals,10,0,0,0,0,,"0.00,0.50,0.50,1.00,0.50,0.00,0.50,0.00,0.00,0.50,0.00,0.50"
champions gate vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
charleston vacation rental homes,10,0,0,0,0,,"0.33,0.33,0.00,0.33,1.00,1.00,0.00,0.00,0.33,0.33,0.33,0.33"
cheap vacation home rentals,10,0,0,0.14,0,,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.29,0.14,0.29,0.14,0.14"
cheap vacation home rentals in kissimmee florida,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
cheap vacation home rentals in orlando,10,0,0,0,0,,"0.80,1.00,0.00,0.00,0.20,0.20,0.20,1.00,0.20,0.00,0.20,0.20"
cheap vacation rental homes in orlando florida,10,0,0,0,0,,"0.00,1.00,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.00"
